time	I(L1)
Step Information: X=220  (Step: 1/5)
1.869356862505630e-02	7.288705e-04
1.895724050005631e-02	6.388423e-04
1.922091237505632e-02	5.599342e-04
1.948458425005633e-02	4.907725e-04
1.974825612505634e-02	4.301536e-04
2.000000000000000e-02	3.792572e-04
2.000000100000000e-02	3.792582e-04
2.009005200005620e-02	5.824607e-04
2.017794262505621e-02	7.723904e-04
2.029513012505621e-02	1.012989e-03
2.044161450005622e-02	1.294573e-03
2.061739575005622e-02	1.606349e-03
2.082247387505623e-02	1.937090e-03
2.105684887505624e-02	2.275797e-03
2.132052075005625e-02	2.612283e-03
2.158419262505626e-02	2.907207e-03
2.184786450005627e-02	3.165702e-03
2.211153637505628e-02	3.392270e-03
2.237520825005629e-02	3.590852e-03
2.263888012505630e-02	3.764906e-03
2.290255200005631e-02	3.917460e-03
2.316622387505632e-02	4.051172e-03
2.342989575005633e-02	4.168368e-03
2.369356762505634e-02	4.271089e-03
2.395723950005635e-02	4.361121e-03
2.422091137505636e-02	4.440033e-03
2.448458325005637e-02	4.509198e-03
2.474825512505638e-02	4.569820e-03
2.500000100000000e-02	4.620720e-03
2.500000200000000e-02	4.620718e-03
2.526583425005621e-02	4.045825e-03
2.538302175005621e-02	3.815572e-03
2.564669362505622e-02	3.344283e-03
2.591036550005623e-02	2.931206e-03
2.617403737505624e-02	2.569151e-03
2.643770925005625e-02	2.251816e-03
2.670138112505626e-02	1.973677e-03
2.696505300005627e-02	1.729894e-03
2.722872487505628e-02	1.516222e-03
2.749239675005629e-02	1.328942e-03
2.775606862505630e-02	1.164795e-03
2.801974050005631e-02	1.020922e-03
2.828341237505632e-02	8.948206e-04
2.854708425005633e-02	7.842947e-04
2.881075612505634e-02	6.874206e-04
2.907442800005635e-02	6.025122e-04
2.933809987505636e-02	5.280914e-04
2.960177175005637e-02	4.628630e-04
2.986544362505638e-02	4.056914e-04
2.998263112505639e-02	3.825946e-04
3.000000000000000e-02	3.792743e-04
